USGS Digital Spectral Library splib06a
Clark and others 2007, USGS, Data Series 231.

For further information on spectrsocopy, see: http://speclab.cr.usgs.gov

ASCII Spectral Data file contents:
line 15 title
line 16 history
line 17 to end:  3-columns of data:
     wavelength    reflectance    standard deviation

(standard deviation of 0.000000 means not measured)
(      -1.23e34  indicates a deleted number)
----------------------------------------------------
Seawater_Open_Ocean SW2 lwch W1R1Ba AREF
copy of splib05a r 9627                                     
       0.205100       0.036043       0.000000
       0.213100       0.036043       0.000000
       0.221100       0.036043       0.000000
       0.229100       0.036043       0.000000
       0.236100       0.036043       0.000000
       0.242100       0.036043       0.000000
       0.248100       0.036043       0.000000
       0.253600       0.036043       0.000000
       0.258600       0.036043       0.000000
       0.263600       0.036043       0.000000
       0.268600       0.036043       0.000000
       0.273100       0.036043       0.000000
       0.277100       0.036043       0.000000
       0.281100       0.036043       0.000000
       0.285100       0.036043       0.000000
       0.289100       0.036043       0.000000
       0.293100       0.036043       0.000000
       0.297100       0.036164       0.000000
       0.301100       0.036604       0.000000
       0.305100       0.037044       0.000000
       0.309100       0.037483       0.000000
       0.313100       0.037923       0.000000
       0.317100       0.038363       0.000000
       0.321100       0.038805       0.000000
       0.325100       0.039248       0.000000
       0.329100       0.039692       0.000000
       0.333100       0.040139       0.000000
       0.337100       0.040588       0.000000
       0.341100       0.041041       0.000000
       0.345100       0.041496       0.000000
       0.349100       0.041956       0.000000
       0.353100       0.042419       0.000000
       0.357100       0.042886       0.000000
       0.360600       0.043298       0.000000
       0.363600       0.043653       0.000000
       0.366600       0.044010       0.000000
       0.369600       0.044369       0.000000
       0.372600       0.044730       0.000000
       0.375600       0.045092       0.000000
       0.378600       0.045455       0.000000
       0.381100       0.045759       0.000000
       0.383100       0.046002       0.000000
       0.385100       0.046247       0.000000
       0.387100       0.046491       0.000000
       0.389100       0.046736       0.000000
       0.391100       0.046982       0.000000
       0.393100       0.047228       0.000000
       0.395100       0.047474       0.000000
       0.397100       0.047720       0.000000
       0.399100       0.047968       0.000000
       0.401100       0.048212       0.000000
       0.403100       0.048470       0.000000
       0.405100       0.048657       0.000000
       0.407100       0.048757       0.000000
       0.409100       0.048711       0.000000
       0.411100       0.048641       0.000000
       0.412800       0.048636       0.000000
       0.415800       0.048551       0.000000
       0.418800       0.048280       0.000000
       0.421800       0.048006       0.000000
       0.424800       0.047730       0.000000
       0.427800       0.047467       0.000000
       0.430800       0.047091       0.000000
       0.433800       0.046544       0.000000
       0.436800       0.046015       0.000000
       0.439800       0.045508       0.000000
       0.442800       0.044925       0.000000
       0.445800       0.044390       0.000000
       0.448800       0.043950       0.000000
       0.451300       0.043623       0.000000
       0.453300       0.043508       0.000000
       0.455300       0.043494       0.000000
       0.457300       0.043367       0.000000
       0.459300       0.043186       0.000000
       0.461300       0.043071       0.000000
       0.463300       0.043017       0.000000
       0.465300       0.042920       0.000000
       0.467300       0.042749       0.000000
       0.469300       0.042538       0.000000
       0.471300       0.042269       0.000000
       0.473300       0.041959       0.000000
       0.475300       0.041626       0.000000
       0.477300       0.041315       0.000000
       0.479300       0.041014       0.000000
       0.481300       0.040681       0.000000
       0.483300       0.040287       0.000000
       0.485300       0.039791       0.000000
       0.487300       0.039223       0.000000
       0.489300       0.038610       0.000000
       0.491300       0.037965       0.000000
       0.493300       0.037284       0.000000
       0.495300       0.036569       0.000000
       0.497300       0.035843       0.000000
       0.499300       0.035069       0.000000
       0.501300       0.034261       0.000000
       0.503300       0.033426       0.000000
       0.505300       0.032660       0.000000
       0.507300       0.031963       0.000000
       0.509300       0.031299       0.000000
       0.511300       0.030708       0.000000
       0.513300       0.030211       0.000000
       0.515300       0.029787       0.000000
       0.517300       0.029420       0.000000
       0.519300       0.029141       0.000000
       0.521300       0.028910       0.000000
       0.523300       0.028686       0.000000
       0.525300       0.028476       0.000000
       0.527300       0.028271       0.000000
       0.529300       0.028064       0.000000
       0.531300       0.027863       0.000000
       0.533300       0.027648       0.000000
       0.535300       0.027417       0.000000
       0.537300       0.027203       0.000000
       0.539300       0.027008       0.000000
       0.541300       0.026811       0.000000
       0.543300       0.026577       0.000000
       0.545300       0.026348       0.000000
       0.547300       0.026136       0.000000
       0.549300       0.025951       0.000000
       0.551300       0.025757       0.000000
       0.553300       0.025558       0.000000
       0.555300       0.025370       0.000000
       0.557300       0.025198       0.000000
       0.559300       0.025036       0.000000
       0.561300       0.024878       0.000000
       0.563300       0.024734       0.000000
       0.565300       0.024574       0.000000
       0.567300       0.024390       0.000000
       0.569300       0.024216       0.000000
       0.571300       0.024033       0.000000
       0.573300       0.023830       0.000000
       0.575300       0.023635       0.000000
       0.577300       0.023434       0.000000
       0.579300       0.023220       0.000000
       0.581300       0.023005       0.000000
       0.583300       0.022806       0.000000
       0.585300       0.022621       0.000000
       0.587300       0.022432       0.000000
       0.589300       0.022241       0.000000
       0.591300       0.022058       0.000000
       0.593300       0.021894       0.000000
       0.595300       0.021749       0.000000
       0.597300       0.021608       0.000000
       0.599300       0.021488       0.000000
       0.601100       0.021398       0.000000
       0.602700       0.021324       0.000000
       0.604300       0.021263       0.000000
       0.605900       0.021220       0.000000
       0.607500       0.021178       0.000000
       0.609100       0.021129       0.000000
       0.610700       0.021100       0.000000
       0.612300       0.021091       0.000000
       0.613900       0.021068       0.000000
       0.615500       0.021038       0.000000
       0.617100       0.021017       0.000000
       0.618700       0.021000       0.000000
       0.620300       0.020983       0.000000
       0.621900       0.020969       0.000000
       0.623500       0.020951       0.000000
       0.625100       0.020937       0.000000
       0.626700       0.020921       0.000000
       0.628300       0.020904       0.000000
       0.629900       0.020895       0.000000
       0.631700       0.020881       0.000000
       0.633700       0.020855       0.000000
       0.635700       0.020837       0.000000
       0.637700       0.020823       0.000000
       0.639700       0.020820       0.000000
       0.641700       0.020805       0.000000
       0.643700       0.020787       0.000000
       0.645700       0.020783       0.000000
       0.647700       0.020765       0.000000
       0.649700       0.020739       0.000000
       0.651700       0.020721       0.000000
       0.653700       0.020698       0.000000
       0.655700       0.020661       0.000000
       0.657700       0.020654       0.000000
       0.659700       0.020648       0.000000
       0.661700       0.020632       0.000000
       0.663700       0.020618       0.000000
       0.665700       0.020609       0.000000
       0.667700       0.020605       0.000000
       0.670200       0.020600       0.000000
       0.673200       0.020577       0.000000
       0.676200       0.020556       0.000000
       0.679200       0.020534       0.000000
       0.682200       0.020506       0.000000
       0.685200       0.020479       0.000000
       0.688200       0.020466       0.000000
       0.691200       0.020438       0.000000
       0.694200       0.020415       0.000000
       0.697200       0.020381       0.000000
       0.700200       0.020341       0.000000
       0.702000       0.020328       0.000000
       0.704000       0.020314       0.000000
       0.706000       0.020294       0.000000
       0.708000       0.020275       0.000000
       0.710000       0.020260       0.000000
       0.712000       0.020246       0.000000
       0.714000       0.020227       0.000000
       0.716000       0.020216       0.000000
       0.718000       0.020193       0.000000
       0.720000       0.020169       0.000000
       0.722000       0.020151       0.000000
       0.724000       0.020127       0.000000
       0.726000       0.020105       0.000000
       0.728000       0.020077       0.000000
       0.730000       0.020055       0.000000
       0.732000       0.020033       0.000000
       0.734000       0.020029       0.000000
       0.736000       0.020021       0.000000
       0.738000       0.020018       0.000000
       0.740000       0.020011       0.000000
       0.742000       0.020009       0.000000
       0.744000       0.020007       0.000000
       0.746000       0.020001       0.000000
       0.748000       0.020000       0.000000
       0.750500       0.019951       0.000000
       0.753500       0.019956       0.000000
       0.756500       0.019956       0.000000
       0.759500       0.019955       0.000000
       0.762500       0.019952       0.000000
       0.765500       0.019947       0.000000
       0.768500       0.019939       0.000000
       0.771500       0.019931       0.000000
       0.774500       0.019921       0.000000
       0.777500       0.019910       0.000000
       0.781000       0.019897       0.000000
       0.785000       0.019883       0.000000
       0.789000       0.019871       0.000000
       0.793000       0.019860       0.000000
       0.797000       0.019853       0.000000
       0.801500       0.019851       0.000000
       0.806500       0.019851       0.000000
       0.811500       0.019846       0.000000
       0.816500       0.019835       0.000000
       0.822000       0.019820       0.000000
       0.828000       0.019800       0.000000
       0.835000       0.019777       0.000000
       0.843000       0.019756       0.000000
       0.851000       0.019747       0.000000
       0.859000       0.019753       0.000000
       0.871000       0.019783       0.000000
       0.883000       0.019820       0.000000
       0.894000       0.019845       0.000000
       0.904000       0.019850       0.000000
       0.914000       0.019834       0.000000
       0.924000       0.019807       0.000000
       0.933000       0.019780       0.000000
       0.941000       0.019759       0.000000
       0.949000       0.019748       0.000000
       0.957000       0.019747       0.000000
       0.964000       0.019750       0.000000
       0.970000       0.019747       0.000000
       0.976000       0.019736       0.000000
       0.982000       0.019718       0.000000
       0.988000       0.019694       0.000000
       0.994000       0.019669       0.000000
       1.000000       0.019643       0.000000
       1.006000       0.019620       0.000000
       1.012000       0.019600       0.000000
       1.018000       0.019583       0.000000
       1.023500       0.019569       0.000000
       1.028500       0.019559       0.000000
       1.033500       0.019551       0.000000
       1.038500       0.019545       0.000000
       1.043500       0.019541       0.000000
       1.048500       0.019540       0.000000
       1.053500       0.019540       0.000000
       1.058500       0.019540       0.000000
       1.063500       0.019537       0.000000
       1.068500       0.019528       0.000000
       1.073500       0.019516       0.000000
       1.078500       0.019502       0.000000
       1.083500       0.019486       0.000000
       1.088500       0.019470       0.000000
       1.093500       0.019454       0.000000
       1.098500       0.019440       0.000000
       1.103500       0.019429       0.000000
       1.108500       0.019420       0.000000
       1.113500       0.019413       0.000000
       1.118500       0.019408       0.000000
       1.123500       0.019404       0.000000
       1.128500       0.019401       0.000000
       1.133500       0.019398       0.000000
       1.138500       0.019395       0.000000
       1.143500       0.019391       0.000000
       1.148500       0.019387       0.000000
       1.153500       0.019380       0.000000
       1.158500       0.019373       0.000000
       1.163500       0.019364       0.000000
       1.168500       0.019356       0.000000
       1.173500       0.019348       0.000000
       1.178500       0.019341       0.000000
       1.183500       0.019336       0.000000
       1.188500       0.019334       0.000000
       1.193500       0.019334       0.000000
       1.198500       0.019334       0.000000
       1.203500       0.019331       0.000000
       1.208500       0.019323       0.000000
       1.213500       0.019312       0.000000
       1.218500       0.019299       0.000000
       1.223500       0.019285       0.000000
       1.228500       0.019271       0.000000
       1.233500       0.019257       0.000000
       1.238500       0.019245       0.000000
       1.243500       0.019236       0.000000
       1.248500       0.019231       0.000000
       1.253500       0.019230       0.000000
       1.258500       0.019230       0.000000
       1.263500       0.019227       0.000000
       1.268500       0.019219       0.000000
       1.273500       0.019209       0.000000
       1.278500       0.019196       0.000000
       1.283500       0.019182       0.000000
       1.288500       0.019166       0.000000
       1.293500       0.019149       0.000000
       1.298500       0.019132       0.000000
       1.303500       0.019116       0.000000
       1.308500       0.019101       0.000000
       1.313500       0.019087       0.000000
       1.318500       0.019074       0.000000
       1.323500       0.019063       0.000000
       1.328500       0.019052       0.000000
       1.333500       0.019043       0.000000
       1.338500       0.019036       0.000000
       1.343500       0.019030       0.000000
       1.348500       0.019026       0.000000
       1.353500       0.019024       0.000000
       1.358500       0.019023       0.000000
       1.363500       0.019023       0.000000
       1.368500       0.019024       0.000000
       1.373500       0.019026       0.000000
       1.378500       0.019028       0.000000
       1.383500       0.019029       0.000000
       1.388500       0.019029       0.000000
       1.393500       0.019028       0.000000
       1.398500       0.019026       0.000000
       1.403500       0.019022       0.000000
       1.408500       0.019015       0.000000
       1.413500       0.019007       0.000000
       1.418500       0.018998       0.000000
       1.423500       0.018987       0.000000
       1.428500       0.018976       0.000000
       1.433500       0.018964       0.000000
       1.438500       0.018951       0.000000
       1.443500       0.018939       0.000000
       1.448500       0.018926       0.000000
       1.453500       0.018914       0.000000
       1.458500       0.018902       0.000000
       1.463500       0.018891       0.000000
       1.468500       0.018880       0.000000
       1.473500       0.018870       0.000000
       1.478500       0.018860       0.000000
       1.483500       0.018850       0.000000
       1.488500       0.018841       0.000000
       1.493500       0.018832       0.000000
       1.498500       0.018823       0.000000
       1.503500       0.018814       0.000000
       1.508500       0.018806       0.000000
       1.513500       0.018798       0.000000
       1.518500       0.018789       0.000000
       1.523500       0.018780       0.000000
       1.528500       0.018771       0.000000
       1.534000       0.018759       0.000000
       1.540000       0.018745       0.000000
       1.546000       0.018730       0.000000
       1.552000       0.018712       0.000000
       1.558000       0.018693       0.000000
       1.564000       0.018673       0.000000
       1.570500       0.018652       0.000000
       1.577500       0.018633       0.000000
       1.584500       0.018618       0.000000
       1.591500       0.018612       0.000000
       1.598500       0.018614       0.000000
       1.605500       0.018628       0.000000
       1.612500       0.018649       0.000000
       1.619500       0.018670       0.000000
       1.626500       0.018686       0.000000
       1.633500       0.018690       0.000000
       1.640500       0.018676       0.000000
       1.647500       0.018637       0.000000
       1.654500       0.018570       0.000000
       1.661500       0.018503       0.000000
       1.668500       0.018466       0.000000
       1.676000       0.018457       0.000000
       1.684000       0.018470       0.000000
       1.692000       0.018493       0.000000
       1.700000       0.018515       0.000000
       1.708000       0.018524       0.000000
       1.716000       0.018520       0.000000
       1.724000       0.018506       0.000000
       1.732000       0.018484       0.000000
       1.740000       0.018455       0.000000
       1.748000       0.018422       0.000000
       1.756000       0.018387       0.000000
       1.764000       0.018351       0.000000
       1.772000       0.018316       0.000000
       1.780000       0.018282       0.000000
       1.788000       0.018251       0.000000
       1.796000       0.018223       0.000000
       1.805000       0.018197       0.000000
       1.815000       0.018175       0.000000
       1.825000       0.018157       0.000000
       1.835000       0.018139       0.000000
       1.845000       0.018121       0.000000
       1.855000       0.018098       0.000000
       1.865000       0.018070       0.000000
       1.875000       0.018034       0.000000
       1.885000       0.017991       0.000000
       1.895000       0.017939       0.000000
       1.905000       0.017877       0.000000
       1.915000       0.017811       0.000000
       1.925000       0.017754       0.000000
       1.935000       0.017716       0.000000
       1.945000       0.017709       0.000000
       1.955000       0.017700       0.000000
       1.965000       0.017660       0.000000
       1.975000       0.017596       0.000000
       1.985000       0.017521       0.000000
       1.995000       0.017444       0.000000
       2.005000       0.017378       0.000000
       2.015000       0.017326       0.000000
       2.025000       0.017285       0.000000
       2.035000       0.017252       0.000000
       2.045000       0.017224       0.000000
       2.055000       0.017198       0.000000
       2.065000       0.017170       0.000000
       2.075000       0.017137       0.000000
       2.085000       0.017096       0.000000
       2.095000       0.017044       0.000000
       2.105000       0.016978       0.000000
       2.115000       0.016899       0.000000
       2.125000       0.016815       0.000000
       2.135000       0.016730       0.000000
       2.145000       0.016654       0.000000
       2.155000       0.016591       0.000000
       2.165000       0.016541       0.000000
       2.175000       0.016494       0.000000
       2.185000       0.016440       0.000000
       2.195000       0.016371       0.000000
       2.205000       0.016279       0.000000
       2.215000       0.016191       0.000000
       2.225000       0.016135       0.000000
       2.235000       0.016097       0.000000
       2.245000       0.016060       0.000000
       2.255000       0.016010       0.000000
       2.265000       0.015941       0.000000
       2.275000       0.015861       0.000000
       2.285000       0.015776       0.000000
       2.295000       0.015692       0.000000
       2.305000       0.015615       0.000000
       2.315000       0.015546       0.000000
       2.325000       0.015478       0.000000
       2.335000       0.015405       0.000000
       2.345000       0.015320       0.000000
